INFO:root:episode:1450 e_greed:0.18812799999998814 Cost: 11.220881645493225 Reward:-42.45906456675361 Action:[-1, -1, [1, 0], [3, 3], [4, 2], [4, 4], [4, 1], [1, 6], [0, 5], [0, 7]]
INFO:root:episode:1500 e_greed:0.18772799999998774 Cost: 10.81288837738215 Reward:-38.379131885642856 Action:[-1, -1, [1, 0], [4, 2], [4, 4], [3, 3], [1, 6], [2, 7], [0, 5], [4, 1]]
INFO:root:episode:1550 e_greed:0.18732799999998734 Cost: 11.220881645493225 Reward:-42.45906456675361 Action:[-1, -1, [1, 0], [4, 2], [4, 4], [3, 3], [0, 7], [4, 1], [1, 6], [0, 5]]
INFO:root:episode:1600 e_greed:0.18692799999998694 Cost: -826.3913701278572 Reward:-1000.0 Action:[-1, -1, [1, 0], [4, 4], [2, 2], [1, 3], [4, 1], [1, 7], [1, 6], [0, 5]]
INFO:root:episode:1650 e_greed:0.18652799999998654 Cost: 11.220881645493225 Reward:-42.45906456675361 Action:[-1, -1, [1, 0], [4, 2], [3, 3], [0, 4], [0, 7], [4, 1], [1, 6], [0, 5]]
INFO:root:episode:1700 e_greed:0.18612799999998614 Cost: 10.81288837738215 Reward:-38.379131885642856 Action:[-1, -1, [1, 0], [4, 2], [3, 3], [4, 4], [2, 7], [1, 6], [0, 5], [4, 1]]
INFO:root:episode:1750 e_greed:0.18572799999998574 Cost: 10.81288837738215 Reward:-38.379131885642856 Action:[-1, -1, [1, 0], [4, 2], [3, 3], [4, 4], [2, 7], [1, 6], [0, 5], [4, 1]]
INFO:root:episode:1800 e_greed:0.18532799999998534 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [1, 0], [3, 3], [4, 4], [2, 2], [0, 7], [4, 1], [0, 5], [1, 6]]
INFO:root:episode:1850 e_greed:0.18492799999998494 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 2], [3, 3], [4, 4], [2, 7], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:1900 e_greed:0.18452799999998454 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 2], [4, 4], [2, 7], [3, 3], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:1950 e_greed:0.18412799999998414 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 2], [3, 3], [4, 4], [2, 7], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:2000 e_greed:0.18372799999998374 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 2], [3, 3], [4, 4], [2, 7], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:2050 e_greed:0.18332799999998334 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 2], [3, 3], [4, 4], [2, 7], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:2100 e_greed:0.18292799999998294 Cost: 7.72155459300332 Reward:-7.465794041854554 Action:[-1, -1, [1, 0], [4, 2], [4, 4], [2, 7], [1, 3], [0, 1], [1, 6], [0, 5]]
INFO:root:episode:2150 e_greed:0.18252799999998254 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 2], [3, 3], [4, 4], [2, 7], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:2200 e_greed:0.18212799999998214 Cost: -822.690158822339 Reward:-1000.0 Action:[-1, -1, [1, 0], [4, 2], [3, 3], [0, 4], [2, 7], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:2250 e_greed:0.18172799999998174 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [4, 2], [3, 3], [2, 7], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:2300 e_greed:0.18132799999998134 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [4, 2], [3, 3], [2, 7], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:2350 e_greed:0.18092799999998094 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 2], [3, 3], [2, 7], [1, 6], [0, 5], [0, 1]]
INFO:root:episode:2400 e_greed:0.18052799999998054 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 2], [3, 3], [2, 7], [1, 6], [0, 1], [0, 5]]
INFO:root:episode:2450 e_greed:0.18012799999998014 Cost: 10.608891743326613 Reward:-36.33916554508748 Action:[-1, -1, [1, 0], [4, 4], [2, 2], [2, 7], [3, 3], [1, 6], [0, 5], [0, 1]]
