Time,node1,node2,node3,node4,node5,
2021/8/7 16:44,331534336,382107648,82075648,809181184,594821120,
2021/8/7 16:44,333639680,382140416,81043456,811999232,595116032,
2021/8/7 16:44,333754368,380538880,80748544,812032000,595623936,
2021/8/7 16:44,333754368,382341120,80867328,821202944,596340736,
2021/8/7 16:44,333623296,382197760,81141760,821374976,596570112,
2021/8/7 16:44,333635584,381095936,81534976,821628928,597037056,
2021/8/7 16:45,333852672,380731392,81625088,821559296,598007808,
2021/8/7 16:45,333635584,380452864,81772544,828284928,598994944,
2021/8/7 16:45,333635584,380694528,81666048,828284928,599744512,
2021/8/7 16:45,333635584,381042688,81600512,828321792,600190976,
2021/8/7 16:45,335835136,380899328,82010112,828420096,598937600,
2021/8/7 16:45,335732736,382050304,82018304,828215296,600018944,
2021/8/7 16:46,335740928,382185472,82571264,827756544,600932352,
2021/8/7 16:46,335794176,381988864,82821120,834506752,601186304,
2021/8/7 16:46,335626240,381988864,82821120,834596864,601190400,
2021/8/7 16:46,335630336,381362176,83050496,834711552,603848704,
2021/8/7 16:46,335630336,381362176,82944000,834809856,603123712,
2021/8/7 16:46,336158720,381308928,82960384,834850816,603222016,
2021/8/7 16:47,336158720,381300736,80719872,834781184,603889664,
2021/8/7 16:47,335949824,377274368,80719872,834850816,604123136,
2021/8/7 16:47,335929344,378286080,80789504,835055616,605474816,
2021/8/7 16:47,338018304,377352192,81084416,835198976,603574272,
2021/8/7 16:47,338305024,378490880,81780736,835330048,604143616,
2021/8/7 16:47,337956864,378257408,81395712,835330048,606683136,
2021/8/7 16:48,337956864,377614336,81399808,835420160,606740480,
2021/8/7 16:48,337956864,379703296,82796544,835244032,607010816,
2021/8/7 16:48,337956864,379703296,82796544,835313664,607600640,
2021/8/7 16:48,338128896,379518976,82796544,835448832,607600640,
2021/8/7 16:48,337948672,379854848,83480576,835457024,608374784,
2021/8/7 16:48,337948672,380198912,83480576,835526656,608448512,
2021/8/7 16:49,338161664,380747776,83427328,835575808,608247808,
2021/8/7 16:49,338063360,377290752,83742720,835575808,609001472,
2021/8/7 16:49,340631552,377106432,83529728,835768320,608903168,
2021/8/7 16:49,340631552,378572800,83529728,835768320,609566720,
2021/8/7 16:49,340631552,378654720,83529728,835719168,610889728,
2021/8/7 16:49,340795392,377671680,83529728,835932160,611217408,
2021/8/7 16:50,340717568,377966592,83542016,835969024,611536896,
2021/8/7 16:50,340717568,378650624,81207296,836313088,611627008,
2021/8/7 16:50,340623360,379711488,81186816,842870784,612040704,
2021/8/7 16:50,340967424,379654144,81756160,842752000,612683776,
2021/8/7 16:50,340967424,379654144,81711104,842797056,612978688,
2021/8/7 16:50,342818816,379318272,85352448,843313152,613978112,
2021/8/7 16:51,343035904,378761216,84951040,843210752,614457344,
2021/8/7 16:51,342978560,379076608,84959232,843120640,614068224,
2021/8/7 16:51,343064576,379588608,84860928,840249344,614100992,
2021/8/7 16:51,343080960,379678720,84955136,840253440,614391808,
2021/8/7 16:51,343101440,380375040,85180416,840466432,616288256,
2021/8/7 16:51,343101440,379985920,86298624,840892416,615677952,
