Time,node1,node2,node3,node4,node5,,
2021/8/7 18:11,73535488,72957952,83361792,1763856384,106741760,,
2021/8/7 18:11,73699328,72957952,83345408,1767591936,106455040,,
2021/8/7 18:11,73699328,73109504,83599360,1769205760,106455040,,
2021/8/7 18:12,73576448,73109504,83521536,1768763392,106426368,,
2021/8/7 18:12,73576448,72720384,83652608,1770799104,106414080,,
2021/8/7 18:12,73576448,73097216,85594112,1772154880,106131456,,
2021/8/7 18:12,73707520,73097216,85839872,1773531136,106070016,,
2021/8/7 18:12,73707520,68952064,85831680,1775570944,106520576,,
2021/8/7 18:12,73535488,73601024,83853312,1776783360,107020288,,
2021/8/7 18:13,73818112,73601024,83738624,1778012160,107020288,,
2021/8/7 18:13,73818112,72630272,83738624,1779228672,105762816,,
2021/8/7 18:13,73703424,72740864,83738624,1779408896,105254912,,
2021/8/7 18:13,73879552,73523200,83902464,1780310016,105267200,,
2021/8/7 18:13,73879552,73523200,83861504,1769246720,105463808,,
2021/8/7 18:13,73875456,73342976,83955712,1771524096,105615360,,
2021/8/7 18:14,73875456,73342976,83832832,1771986944,105652224,,
2021/8/7 18:14,73674752,73125888,83947520,1777909760,104124416,,
2021/8/7 18:14,73674752,73068544,84115456,1776635904,104124416,,
2021/8/7 18:14,73748480,73068544,84115456,1776472064,103960576,,
2021/8/7 18:14,73748480,73068544,84127744,1778343936,104771584,,
2021/8/7 18:14,73621504,73347072,84168704,1782812672,104615936,,
2021/8/7 18:15,73703424,73347072,84340736,1782816768,104448000,,
2021/8/7 18:15,73703424,73347072,84340736,1787961344,105308160,,
2021/8/7 18:15,73707520,73207808,84676608,1791905792,105332736,,
2021/8/7 18:15,73707520,73117696,84447232,1793617920,105263104,,
2021/8/7 18:15,73588736,73117696,84631552,1787879424,104951808,,
2021/8/7 18:15,73715712,73113600,84385792,1782407168,105799680,,
2021/8/7 18:16,73646080,73113600,84385792,1782849536,105799680,,
2021/8/7 18:16,73646080,73121792,84475904,1780744192,105062400,,
2021/8/7 18:16,73498624,73121792,84856832,1776578560,102064128,,
2021/8/7 18:16,73297920,72495104,84856832,1777344512,102023168,,
2021/8/7 18:16,73297920,72495104,85123072,1776386048,102846464,,
2021/8/7 18:16,73285632,73183232,84852736,1785225216,102846464,,
2021/8/7 18:17,73371648,73183232,84852736,1785413632,102416384,,
2021/8/7 18:17,73371648,73101312,84975616,1785892864,102326272,,
2021/8/7 18:17,73125888,73199616,85942272,1787068416,102989824,,
2021/8/7 18:17,73216000,73199616,86384640,1788850176,103219200,,
2021/8/7 18:17,73216000,73101312,86392832,1789706240,102825984,,
2021/8/7 18:17,73170944,73101312,86462464,1793269760,100847616,,
2021/8/7 18:18,73150464,70524928,86532096,1796104192,100847616,,
2021/8/7 18:18,73150464,73601024,86532096,1797050368,102199296,,
2021/8/7 18:18,73158656,73601024,86548480,1799098368,104194048,,
2021/8/7 18:18,73158656,73601024,85790720,1799729152,104194048,,
2021/8/7 18:18,73158656,73453568,85872640,1796280320,104054784,,
2021/8/7 18:18,73154560,73453568,85872640,1798733824,104271872,,
