time,productpage-details,productpage-reviews,reviews-ratings
234,1.02273,1,2.25
235,1,1.05952,1.79032
236,1.04839,1,2.35897
237,1.07692,1,1.69444
238,1.01389,1,2.31471
239,1.11765,1,2.01786
240,1,1.07143,2.03774
241,1.0566,1,1.93333
242,1.13333,1,2.17143
243,1,1.02857,2.21212
244,1,1.06061,1.94286
245,1.02857,1,2.07317
246,1,1.22449,1.88
247,1.14667,1,1.94681
248,1.06383,1,2.10294
249,1,1.01471,2.04301
250,1.03226,1,2.23944
251,1.01408,1,1.87879
252,1,1.05051,1.93023
253,1.09302,1,2.09474
254,1,1.06316,2
255,1,1.28571,1.90244
256,1.14634,1,1.93939
257,1,1.01515,2.11667
258,1.23333,1,2.43077
259,1,1.26154,2.08171
260,1.13415,1,2.7381
261,1,1.30952,2.02083
262,1.04167,1,1.88312
263,1.25974,1,2.31429
264,1,1.08571,1.96875
265,1.04688,1,2.34
266,1,1.06,1.7806
267,1.1791,1,1.98592
268,1.08451,1,2.30612
269,1,1.3913,2.36508
270,1,1.12698,2.13084
271,1.02804,1,1.68675
272,1,1.48936,1.81176
273,1.14118,1,2.02198
274,1.0989,1,2.10101
275,1,1.0101,1.74713
276,1.14943,1,2
277,1.03077,1,2.09216
278,1,1.01961,2.09889
279,1,1.03704,1.44578
280,1.26506,1,2.39223
281,1.02473,1,1.90909
282,1.02273,1,2.07692
283,1.08791,1,2.08889
284,1.07778,1,1.75258
285,1,1.31579,1.95745
286,1.06383,1,1.89394
287,1,1,2.20357
288,1.07143,1,1.9434
289,1,1.01887,2.31915
290,1,1.12766,1.96429
291,1.30952,1,2.24815
292,1,1.22222,2.11765
293,1,1.37143,1.86747
294,1,1.15909,2
295,1.03158,1,2.18841
296,1,1.10145,1.91463
297,1.17073,1,2.05405
298,1,1.27778,1.91026
299,1.07692,1,1.95789
300,1.05263,1,1.92308
301,1,1,2.39773
302,1,1.10227,1.8
303,1.14286,1,2.04
304,1.08,1,1.95
305,1,1.2,2.3299
306,1,1.09278,1.9313
307,1.22137,1,2.24138
308,1,1.12644,1.96117
309,1.06796,1,2.04878
310,1.0122,1,2.09677
311,1,1.02151,2.38
312,1,1.08,1.72826
313,1.07609,1,2.02198
314,1.02198,1,2.30769
315,1,1.10256,2
316,1.04762,1,1.97753
317,1.23596,1,1.99213
318,1.10236,1,2.06061
319,1,1.2963,2.31
320,1,1.13,1.87826
321,1.13043,1,1.92373
322,1.10169,1,2.17
323,1,1.05,1.85417
324,1,1.3,1.91453
325,1.11111,1,2.04138
326,1.10345,1,2.03571
327,1,1.15385,2.11667
328,1,1.09167,2.36923
329,1,1.16154,1.96875
330,1,1,2.17692
331,1,1.09231,1.93889
332,1,1.475,2.11765
333,1,1.08824,2.57
334,1,1.34,1.93846
335,1,1.03846,1.99324
336,1.01351,1,2.04667
337,1,1.42308,2.11538
338,1,1.14615,1.91975
339,1.23457,1,2.36923
340,1,1.17692,2.31333
341,1,1.04667,1.74317
342,1.03825,1,2.35833
343,1,1.19167,2.21667
