Time,productpage,details,ratings,review-v1,review-v2,review-v3
2021/8/10 9:00,104988672,68390912,6324224,149655552,84955136,161783808
2021/8/10 9:00,104988672,68390912,6324224,149663744,98062336,161779712
2021/8/10 9:00,104714240,68399104,18423808,149946368,138715136,161820672
2021/8/10 9:01,106946560,68399104,61767680,149745664,138768384,161955840
2021/8/10 9:01,106946560,70676480,61788160,149770240,138817536,161976320
2021/8/10 9:01,106954752,71004160,61796352,149807104,138833920,164114432
2021/8/10 9:01,107085824,70766592,61796352,149807104,138866688,164122624
2021/8/10 9:02,186753024,77332480,61816832,152317952,152420352,165707776
2021/8/10 9:02,224010240,78618624,65073152,168357888,157040640,184184832
2021/8/10 9:02,241291264,79044608,65605632,184156160,156377088,181530624
2021/8/10 9:02,235040768,79618048,65900544,184483840,157155328,181633024
2021/8/10 9:03,241418240,79740928,65802240,172888064,155525120,183525376
2021/8/10 9:03,245792768,80093184,66088960,185786368,158781440,185495552
2021/8/10 9:03,245792768,83800064,66678784,184172544,158969856,190062592
2021/8/10 9:03,265474048,84885504,66711552,173277184,162013184,188723200
2021/8/10 9:04,256331776,85135360,66764800,173744128,161923072,188809216
2021/8/10 9:04,270434304,85352448,66715648,181936128,166719488,188964864
2021/8/10 9:04,254070784,86171648,66768896,174305280,172380160,199507968
2021/8/10 9:04,267493376,86327296,67174400,178143232,173105152,207114240
2021/8/10 9:05,268226560,86327296,66166784,178307072,175423488,193085440
2021/8/10 9:05,268226560,86327296,66166784,182333440,175423488,193085440
2021/8/10 9:05,269148160,86327296,66166784,182620160,175423488,193085440
2021/8/10 9:05,259174400,85127168,66670592,184119296,175546368,193359872
2021/8/10 9:06,260739072,85327872,67411968,184442880,175448064,195915776
2021/8/10 9:06,260743168,85073920,67072000,184991744,175587328,195702784
2021/8/10 9:06,260202496,85082112,66777088,194535424,175501312,195780608
2021/8/10 9:06,258424832,86028288,67805184,200437760,175439872,196227072
2021/8/10 9:07,259665920,86147072,67141632,205451264,176640000,196485120
2021/8/10 9:07,256716800,86368256,67936256,205451264,176533504,197189632
2021/8/10 9:07,249352192,86368256,67452928,213237760,178679808,202412032
2021/8/10 9:07,260452352,86712320,67850240,212725760,178688000,202412032
2021/8/10 9:08,232845312,86106112,68038656,212725760,178581504,203706368
2021/8/10 9:08,226865152,86114304,68042752,212742144,178614272,204750848
2021/8/10 9:08,226889728,85299200,68042752,212725760,178663424,205692928
