INFO:root:episode:9  step:3 Cost:35.08382642998027 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[1, 2]
INFO:root:episode:9  step:4 Cost:42.6775147928994 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[0, 4]
INFO:root:episode:9  step:5 Cost:44.60059171597632 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[0, 5]
INFO:root:episode:9  step:6 Cost:36.72337278106509 min Cost:36.72337278106509 Reward:0 全局reward:0 Action:[1, 0]
INFO:root:episode:10  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:10  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[4, 3]
INFO:root:episode:10  step:3 Cost:35.08382642998027 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[1, 2]
INFO:root:episode:10  step:4 Cost:42.6775147928994 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[0, 4]
INFO:root:episode:10  step:5 Cost:44.60059171597632 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[0, 5]
INFO:root:episode:10  step:6 Cost:36.72337278106509 min Cost:36.72337278106509 Reward:0 全局reward:0 Action:[1, 0]
INFO:root:episode:11  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:11  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[4, 3]
INFO:root:episode:11  step:3 Cost:35.08382642998027 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[1, 2]
INFO:root:episode:11  step:4 Cost:42.6775147928994 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[0, 4]
INFO:root:episode:11  step:5 Cost:44.60059171597632 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[0, 5]
INFO:root:episode:11  step:6 Cost:36.72337278106509 min Cost:36.72337278106509 Reward:0 全局reward:0 Action:[1, 0]
INFO:root:episode:12  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:12  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[4, 3]
INFO:root:episode:12  step:3 Cost:35.08382642998027 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[1, 2]
INFO:root:episode:12  step:4 Cost:42.6775147928994 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[0, 4]
INFO:root:episode:12  step:5 Cost:44.60059171597632 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[0, 0]
INFO:root:episode:12  step:6 Cost:49.22337278106508 min Cost:36.72337278106509 Reward:-124.99999999999993 全局reward:0 Action:[1, 5]
INFO:root:episode:13  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:13  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[4, 3]
INFO:root:episode:13  step:3 Cost:55.47337278106509 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[1, 5]
INFO:root:episode:13  step:4 Cost:58.50591715976331 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[4, 2]
INFO:root:episode:13  step:5 Cost:57.137573964497044 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[2, 0]
INFO:root:episode:13  step:6 Cost:62.463017751479285 min Cost:36.72337278106509 Reward:-257.39644970414196 全局reward:0 Action:[4, 4]
INFO:root:episode:14  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:14  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[4, 3]
INFO:root:episode:14  step:3 Cost:35.08382642998027 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[1, 4]
INFO:root:episode:14  step:4 Cost:37.67258382642998 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[4, 0]
INFO:root:episode:14  step:5 Cost:47.83037475345168 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[1, 2]
INFO:root:episode:14  step:6 Cost:54.12968441814596 min Cost:36.72337278106509 Reward:-174.06311637080876 全局reward:0 Action:[0, 5]
INFO:root:episode:15  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:15  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[4, 3]
INFO:root:episode:15  step:3 Cost:55.47337278106509 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[1, 5]
INFO:root:episode:15  step:4 Cost:58.50591715976331 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[4, 2]
INFO:root:episode:15  step:5 Cost:51.109467455621306 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[1, 0]
INFO:root:episode:15  step:6 Cost:49.03846153846153 min Cost:36.72337278106509 Reward:-123.15088757396445 全局reward:0 Action:[2, 4]
INFO:root:episode:16  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:16  step:2 Cost:35.55226824457594 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[2, 4]
INFO:root:episode:16  step:3 Cost:43.88560157790927 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[3, 3]
INFO:root:episode:16  step:4 Cost:51.010848126232744 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[1, 2]
INFO:root:episode:16  step:5 Cost:52.93392504930966 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[2, 0]
INFO:root:episode:16  step:6 Cost:49.22337278106508 min Cost:36.72337278106509 Reward:-124.99999999999993 全局reward:0 Action:[1, 5]
INFO:root:episode:17  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:17  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[4, 3]
INFO:root:episode:17  step:3 Cost:35.08382642998027 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[1, 2]
INFO:root:episode:17  step:4 Cost:45.90729783037475 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[1, 4]
INFO:root:episode:17  step:5 Cost:52.8353057199211 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[0, 5]
INFO:root:episode:17  step:6 Cost:50.80128205128205 min Cost:36.72337278106509 Reward:-140.77909270216963 全局reward:0 Action:[3, 0]
INFO:root:episode:18  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:18  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[4, 3]
