INFO:root:episode:330 e_greed:0.19600999999999602 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [1, 1], [3, 4], [0, 2], [0, 5]]
INFO:root:episode:340 e_greed:0.19594999999999596 Cost: 36.72337278106509 Reward:-41.66666666666664 Action:[-1, -1, [4, 3], [1, 0], [1, 1], [3, 4], [1, 2], [4, 5]]
INFO:root:episode:350 e_greed:0.1958899999999959 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [1, 1], [3, 4], [0, 2], [4, 5]]
INFO:root:episode:360 e_greed:0.19582999999999584 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [1, 1], [3, 4], [0, 2], [4, 5]]
INFO:root:episode:370 e_greed:0.19576999999999578 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [1, 1], [3, 4], [0, 2], [4, 5]]
INFO:root:episode:380 e_greed:0.19570999999999572 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [3, 4], [1, 1], [0, 2], [4, 5]]
INFO:root:episode:390 e_greed:0.19564999999999566 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [3, 4], [1, 1], [0, 2], [3, 5]]
INFO:root:episode:400 e_greed:0.1955899999999956 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [3, 4], [1, 1], [0, 2], [3, 5]]
INFO:root:episode:410 e_greed:0.19552999999999554 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [3, 4], [1, 1], [0, 2], [4, 5]]
INFO:root:episode:420 e_greed:0.19546999999999548 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [3, 4], [1, 1], [0, 2], [4, 5]]
INFO:root:episode:430 e_greed:0.19540999999999542 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [0, 2], [3, 4], [4, 5], [1, 1]]
INFO:root:episode:440 e_greed:0.19534999999999536 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [0, 2], [4, 5], [3, 4], [1, 1]]
INFO:root:episode:450 e_greed:0.1952899999999953 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [4, 5], [0, 2], [3, 4], [1, 1]]
INFO:root:episode:460 e_greed:0.19522999999999524 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [4, 5], [1, 0], [0, 2], [3, 4], [1, 1]]
INFO:root:episode:470 e_greed:0.19516999999999518 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [4, 5], [1, 0], [0, 2], [3, 4], [1, 1]]
INFO:root:episode:480 e_greed:0.19510999999999512 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [4, 5], [1, 0], [0, 2], [3, 4], [1, 1]]
INFO:root:episode:490 e_greed:0.19504999999999506 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [4, 5], [0, 2], [1, 0], [3, 4], [1, 1]]
INFO:root:episode:500 e_greed:0.194989999999995 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [4, 5], [1, 0], [0, 2], [1, 1], [3, 4]]
INFO:root:episode:510 e_greed:0.19492999999999494 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 3], [4, 5], [1, 0], [0, 2], [1, 1], [4, 4]]
INFO:root:episode:520 e_greed:0.19486999999999488 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 3], [4, 5], [1, 0], [0, 2], [4, 4], [1, 1]]
INFO:root:episode:530 e_greed:0.19480999999999482 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 3], [4, 5], [1, 0], [0, 2], [4, 4], [1, 1]]
INFO:root:episode:540 e_greed:0.19474999999999476 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [4, 5], [1, 0], [0, 2], [3, 4], [1, 1]]
INFO:root:episode:550 e_greed:0.1946899999999947 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [4, 5], [1, 0], [0, 2], [3, 4], [1, 1]]
INFO:root:episode:560 e_greed:0.19462999999999464 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [4, 5], [1, 0], [0, 2], [3, 4], [1, 1]]
INFO:root:episode:570 e_greed:0.19456999999999458 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [4, 5], [1, 0], [0, 2], [3, 4], [1, 1]]
INFO:root:episode:580 e_greed:0.19450999999999452 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 3], [4, 5], [1, 0], [0, 2], [4, 4], [1, 1]]
INFO:root:episode:590 e_greed:0.19444999999999446 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 3], [4, 5], [1, 0], [0, 2], [4, 4], [1, 1]]
INFO:root:episode:600 e_greed:0.1943899999999944 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 3], [4, 5], [1, 0], [0, 2], [4, 4], [1, 1]]
INFO:root:episode:610 e_greed:0.19432999999999434 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [1, 0], [4, 4], [0, 2], [1, 1]]
INFO:root:episode:620 e_greed:0.19426999999999428 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [1, 0], [4, 4], [0, 2], [1, 1]]
INFO:root:episode:630 e_greed:0.19420999999999422 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 0], [0, 2], [1, 1]]
INFO:root:episode:640 e_greed:0.19414999999999416 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 0], [0, 2], [1, 1]]
INFO:root:episode:650 e_greed:0.1940899999999941 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 3], [4, 5], [4, 4], [1, 0], [0, 2], [1, 1]]
INFO:root:episode:660 e_greed:0.19402999999999404 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 3], [4, 5], [4, 4], [1, 0], [0, 2], [1, 1]]
INFO:root:episode:670 e_greed:0.19396999999999398 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 3], [4, 5], [1, 0], [4, 4], [0, 2], [1, 1]]
INFO:root:episode:680 e_greed:0.19390999999999392 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 3], [4, 5], [4, 4], [1, 0], [0, 2], [1, 1]]
INFO:root:episode:690 e_greed:0.19384999999999386 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 3], [4, 5], [1, 0], [4, 4], [0, 2], [1, 1]]
INFO:root:episode:700 e_greed:0.1937899999999938 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 3], [4, 5], [1, 0], [4, 4], [1, 1], [0, 2]]
INFO:root:episode:710 e_greed:0.19372999999999374 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 3], [4, 5], [1, 0], [4, 4], [1, 1], [0, 2]]
INFO:root:episode:720 e_greed:0.19366999999999368 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 0], [1, 1], [0, 2]]
INFO:root:episode:730 e_greed:0.19360999999999362 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 0], [1, 1], [0, 2]]
INFO:root:episode:740 e_greed:0.19354999999999356 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 0], [1, 1], [0, 2]]
INFO:root:episode:750 e_greed:0.1934899999999935 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 0], [1, 1], [0, 2]]
INFO:root:episode:760 e_greed:0.19342999999999344 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 0], [1, 1], [0, 2]]
INFO:root:episode:770 e_greed:0.19336999999999338 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 0], [1, 1], [0, 2]]
INFO:root:episode:780 e_greed:0.19330999999999332 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 5], [4, 3], [4, 4], [1, 0], [1, 1], [0, 2]]
